"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"18-Sep-2020","    11958.20","    12528.85","    11926.65","    12320.90","      140543375","        20831.23"
"21-Sep-2020","    12341.75","    12496.70","    11724.00","    11799.55","       62571000","        10597.85"
"22-Sep-2020","    11889.10","    11952.10","    11540.40","    11876.85","       55402738","         7799.88"
"23-Sep-2020","    12032.45","    12052.40","    11608.00","    11685.90","       37580548","         5167.18"
"24-Sep-2020","    11581.10","    11717.45","    11268.90","    11334.60","       42088468","         6658.93"
"25-Sep-2020","    11513.05","    11666.00","    11383.35","    11595.90","       45977253","         5068.21"
"28-Sep-2020","    11724.75","    11842.35","    11528.25","    11796.60","       44512505","         4386.87"
"29-Sep-2020","    11857.00","    11874.10","    11680.90","    11709.50","       37060611","         3418.63"
"30-Sep-2020","    11745.00","    12015.70","    11691.50","    11772.85","       57562209","         6888.86"
"01-Oct-2020","    11869.10","    11893.20","    11710.10","    11822.90","       32260934","         3494.22"
"05-Oct-2020","    11881.25","    12073.40","    11748.95","    12024.00","       35539615","         3527.36"
"06-Oct-2020","    12084.80","    12161.10","    11979.05","    12009.45","       32686129","         3184.51"
"07-Oct-2020","    12009.05","    12119.40","    11880.25","    11915.00","       30016668","         3089.90"
"08-Oct-2020","    11968.80","    12255.70","    11910.90","    12209.20","       47024974","         4320.25"
"09-Oct-2020","    12230.15","    12343.70","    12017.95","    12043.95","       51542542","         4762.25"
"12-Oct-2020","    12067.90","    12184.00","    11987.05","    12154.55","       33894321","         3401.21"
"13-Oct-2020","    12149.65","    12331.05","    11892.50","    11937.10","       48664706","         5478.10"
"14-Oct-2020","    11956.55","    12011.45","    11740.90","    11857.25","       33377564","         3358.50"
"15-Oct-2020","    11891.85","    11932.30","    11571.05","    11637.90","       28609029","         2945.12"
"16-Oct-2020","    11637.45","    11854.70","    11596.80","    11814.10","       40935700","         4017.95"
"19-Oct-2020","    11911.65","    11923.95","    11592.95","    11616.65","       24583363","         2932.45"
"20-Oct-2020","    11626.55","    11746.20","    11551.30","    11644.40","       26570337","         2763.37"
"21-Oct-2020","    11696.30","    11712.55","    11444.35","    11645.70","       29314908","         2973.87"
