"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"13-Nov-2020","    21305.35","    21462.00","    21219.80","    21436.85","       22913760","         2768.73"
"14-Nov-2020","    21604.40","    21618.90","    21532.85","    21552.75","        3183435","          380.43"
"17-Nov-2020","    21704.05","    21706.20","    21361.45","    21488.55","       34794218","         3919.65"
"18-Nov-2020","    21519.15","    21557.10","    21153.85","    21314.85","       31269752","         3530.41"
"19-Nov-2020","    21285.75","    21451.80","    21070.25","    21114.45","       40370055","         4203.33"
"20-Nov-2020","    21275.35","    21500.65","    21121.75","    21409.25","       34638255","         3984.13"
"23-Nov-2020","    21551.85","    22047.05","    21432.65","    22007.05","       41566212","         4511.42"
"24-Nov-2020","    22099.60","    22281.85","    22016.95","    22064.30","       42113721","         4507.75"
"25-Nov-2020","    22087.90","    22132.90","    21675.90","    21705.90","       31668960","         3567.25"
"26-Nov-2020","    21717.40","    21919.15","    21544.05","    21859.90","       36603487","         3821.18"
"27-Nov-2020","    21879.15","    21972.95","    21701.30","    21764.90","       81455555","        10072.82"
"01-Dec-2020","    21921.10","    22216.45","    21814.40","    22170.85","       39814571","         4251.33"
"02-Dec-2020","    22149.35","    22371.55","    21961.45","    22319.00","       33714679","         3523.85"
"03-Dec-2020","    22458.75","    22458.80","    22147.30","    22202.20","       48113295","         5042.55"
"04-Dec-2020","    22222.25","    22347.85","    22130.30","    22309.80","       32350317","         3463.76"
"07-Dec-2020","    22333.30","    22482.90","    22271.00","    22440.85","       29577790","         3054.15"
"08-Dec-2020","    22484.35","    22737.95","    22387.35","    22617.35","       44052151","         4713.69"
"09-Dec-2020","    22799.95","    22895.50","    22720.50","    22803.45","       44630681","         4444.48"
"10-Dec-2020","    22693.95","    22809.55","    22606.60","    22755.75","       28045567","         3313.97"
"11-Dec-2020","    22754.50","    22901.75","    22541.10","    22664.00","       28151650","         3252.50"
"14-Dec-2020","    22786.00","    22792.45","    22487.30","    22746.70","       30545890","         3093.19"
"15-Dec-2020","    22656.35","    22779.70","    22608.35","    22715.10","       29851045","         3302.35"
"16-Dec-2020","    22830.40","    22933.80","    22701.55","    22906.25","       26638272","         3089.55"
"17-Dec-2020","    22913.15","    22960.50","    22835.40","    22892.25","       23025731","         2834.34"
