"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"09-Sep-2020","       22.7225","       23.2700","       20.1975","       22.2300","       22.7225","       -0.4900","  -2.17"
"10-Sep-2020","       22.2300","       22.2300","       17.7000","       21.2625","       22.2300","       -0.9700","  -4.35"
"11-Sep-2020","       21.2625","       21.3450","       18.1725","       20.7125","       21.2625","       -0.5500","  -2.59"
"14-Sep-2020","       20.7125","       21.7400","       17.5325","       21.1900","       20.7125","        0.4800","   2.31"
"15-Sep-2020","       21.1900","       21.1900","       18.8975","       20.5975","       21.1900","       -0.5900","  -2.80"
"16-Sep-2020","       20.5975","       20.5975","       16.3250","       19.6600","       20.5975","       -0.9400","  -4.55"
"17-Sep-2020","       19.6600","       20.6825","       17.5525","       20.1000","       19.6600","        0.4400","   2.24"
"18-Sep-2020","       20.1000","       20.7700","       17.5825","       20.0450","       20.1000","       -0.0600","  -0.27"
"21-Sep-2020","       20.0450","       22.9925","       18.2675","       22.1875","       20.0450","        2.1400","  10.69"
"22-Sep-2020","       22.1875","       23.2750","       15.7550","       21.4100","       22.1875","       -0.7800","  -3.50"
"23-Sep-2020","       21.4100","       22.4775","       19.3700","       20.9900","       21.4100","       -0.4200","  -1.96"
"24-Sep-2020","       20.9900","       23.8175","       20.9250","       23.5100","       20.9900","        2.5200","  12.01"
"25-Sep-2020","       23.5100","       23.5100","       18.6675","       20.6750","       23.5100","       -2.8400"," -12.06"
"28-Sep-2020","       20.6750","       21.0975","       19.3500","       19.5725","       20.6750","       -1.1000","  -5.33"
"29-Sep-2020","       19.5725","       20.1975","       18.4275","       19.7750","       19.5725","        0.2000","   1.03"
"30-Sep-2020","       19.7750","       20.2150","       17.6750","       19.5300","       19.7750","       -0.2500","  -1.24"
"01-Oct-2020","       19.5300","       19.5300","       17.3750","       18.3500","       19.5300","       -1.1800","  -6.04"
"05-Oct-2020","       18.3500","       20.0250","       18.3500","       19.7050","       18.3500","        1.3600","   7.38"
"06-Oct-2020","       19.7050","       19.8925","       18.3600","       19.6350","       19.7050","       -0.0700","  -0.36"
"07-Oct-2020","       19.6350","       20.3375","       19.0675","       20.0600","       19.6350","        0.4300","   2.16"
"08-Oct-2020","       20.0600","       20.8550","       18.9775","       20.3800","       20.0600","        0.3200","   1.60"
"09-Oct-2020","       20.3800","       21.0075","       17.5100","       20.3800","       20.3800","        0.0000","   0.00"
"12-Oct-2020","       20.3800","       22.1000","       19.3900","       21.1275","       20.3800","        0.7500","   3.67"
"13-Oct-2020","       21.1275","       21.6500","       20.5250","       20.7150","       21.1275","       -0.4100","  -1.95"
"14-Oct-2020","       20.7150","       20.9625","       18.4250","       20.2100","       20.7150","       -0.5100","  -2.44"
"15-Oct-2020","       20.2100","       22.2750","       19.0375","       22.0575","       20.2100","        1.8500","   9.14"
"16-Oct-2020","       22.0575","       22.4175","       20.4850","       21.6450","       22.0575","       -0.4100","  -1.87"
"19-Oct-2020","       21.6450","       22.3175","       15.4650","       21.8175","       21.6450","        0.1700","   0.80"
"20-Oct-2020","       21.8175","       22.7925","       18.7900","       22.6900","       21.8175","        0.8700","   4.00"
"21-Oct-2020","       22.6900","       23.5450","       18.3775","       22.9150","       22.6900","        0.2300","   0.99"
"22-Oct-2020","       22.9150","       23.5150","       17.4400","       22.6350","       22.9150","       -0.2800","  -1.22"
"23-Oct-2020","       22.6350","       22.7800","       19.8325","       21.8275","       22.6350","       -0.8100","  -3.57"
"26-Oct-2020","       21.8275","       23.4050","       21.3200","       22.8325","       21.8275","        1.0100","   4.60"
"27-Oct-2020","       22.8325","       23.1675","       22.1225","       22.1950","       22.8325","       -0.6400","  -2.79"
"28-Oct-2020","       22.1950","       23.4650","       20.0800","       23.2800","       22.1950","        1.0900","   4.89"
"29-Oct-2020","       23.2800","       24.3600","       22.2825","       24.0225","       23.2800","        0.7400","   3.19"
"30-Oct-2020","       24.0225","       26.3000","       21.7250","       24.7525","       24.0225","        0.7300","   3.04"
